Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
Robotics Engineer,2.6,Kalbe Farma,Lhokseumawe,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,5650,67133,"Seeking a Robotics Engineer proficient in Robotics, C++, Control Systems. Responsibilities include Test and optimize robotics algorithms, Develop robotics solutions, Program robots."
Data Engineer,3.0,Unilever Indonesia,Bukittinggi,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Sampoerna, Gudang Garam, Djarum",4918,69737,"Hiring a Data Engineer experienced with SQL, ETL, Python. You will be responsible for Work with big data technologies, Collaborate with data scientists, Build and maintain data pipelines."
Front-end Developer,4.7,Bank Central Asia (BCA),Makassar,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI), Bank Mandiri",1958,31814,"Seeking a Front-end Developer with skills in Vue.js, CSS, HTML. Responsibilities: Work with HTML, CSS, and JavaScript, Ensure responsive design, Develop user interfaces."
IT Project Manager,3.1,Astra International,Prabumulih,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Garuda Indonesia, Blue Bird Group",1605,27435,"Join our team as an IT Project Manager. Skills required: Agile, Scrum, Leadership. Responsibilities: Manage project budgets, Manage IT projects, Communicate with stakeholders."
Motion Graphics Designer,4.0,Telekomunikasi Selular (Telkomsel),Padang Panjang,Yogyakarta,5001 to 10000 employees,1997,Company - Public,Telecommunications,Telecommunications,"XL Axiata, Indosat Ooredoo, PT Telkom Indonesia",3986,66317,"Join us as a Motion Graphics Designer. Required skills: Motion Graphics, Cinema 4D, Animation. Duties: Collaborate with video production teams, Work with animation tools, Create motion graphics."
Interaction Designer,3.1,Telekomunikasi Selular (Telkomsel),Ambon,Yogyakarta,5001 to 10000 employees,1997,Company - Public,Telecommunications,Telecommunications,"PT Telkom Indonesia, XL Axiata, Indosat Ooredoo",3376,66317,"We are looking for an Interaction Designer skilled in UI Design, Adobe XD, Interaction Design. Responsibilities include Collaborate with developers, Create prototypes, Design interactive experiences."
Deep Learning Engineer,2.5,Kalbe Farma,Padang Panjang,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,4597,67133,"Hiring a Deep Learning Engineer experienced with Keras, TensorFlow, Python. You will be responsible for Optimize neural networks, Develop deep learning models, Collaborate with data scientists."
Brand Designer,3.2,Bumi Resources,Denpasar,Medan,1001 to 5000 employees,2001,Company - Holding,Mining,Energy,"Pertamina, PLN (Perusahaan Listrik Negara)",3275,55999,"Hiring a Brand Designer proficient in Brand Strategy, Creativity, Visual Design. Responsibilities: Collaborate with marketing teams, Ensure brand consistency, Develop branding materials."
Research Scientist,4.0,Sampoerna,Pasuruan,Bandung,10001+ employees,1998,Company - Holding,Tobacco,Consumer Goods,"Djarum, Indofood, Unilever Indonesia",1637,25742,"Join us as a Research Scientist. Required skills: R, Statistics, Python. Duties: Conduct research and experiments, Publish research findings, Collaborate with other scientists."
Data Scientist,4.6,Lippo Group,Jayapura,Padang,1001 to 5000 employees,2003,Company - Corporation (C Corp),Conglomerate,Conglomerate,Sinar Mas Group,4859,81686,"We are looking for a Data Scientist to join our team. Requirements: Experience in Data Analysis, SQL, R. Responsibilities: Develop predictive models, Communicate findings to stakeholders, Work with large datasets."
Brand Designer,2.5,Bank Rakyat Indonesia (BRI),Banjarmasin,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Mandiri, Bank Central Asia (BCA), Bank Negara Indonesia (BNI)",3379,41943,"Hiring a Brand Designer proficient in Adobe Creative Suite, Creativity, Graphic Design. Responsibilities: Work with design tools, Create visual identities, Develop branding materials."
Deep Learning Engineer,3.1,Garuda Indonesia,Palembang,Jakarta,1001 to 5000 employees,1991,Company - Professional Corporation (PC),Airlines,Transportation,"Blue Bird Group, Astra International",3891,67312,"Hiring a Deep Learning Engineer experienced with TensorFlow, Neural Networks, Deep Learning. You will be responsible for Optimize neural networks, Work with TensorFlow and Keras, Collaborate with data scientists."
Data Scientist,4.1,Bank Negara Indonesia (BNI),Tarakan,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Central Asia (BCA), Bank Mandiri, Bank Rakyat Indonesia (BRI)",7199,86365,"We are looking for a Data Scientist to join our team. Requirements: Experience in Machine Learning, R, Data Analysis. Responsibilities: Develop predictive models, Collaborate with cross-functional teams, Work with large datasets."
Robotics Engineer,4.8,Sampoerna,Tangerang,Bandung,10001+ employees,1998,Company - Holding,Tobacco,Consumer Goods,"Unilever Indonesia, Indofood, Gudang Garam",2095,25742,"Seeking a Robotics Engineer proficient in Control Systems, Robotics, ROS. Responsibilities include Develop robotics solutions, Work with control systems, Test and optimize robotics algorithms."
Computer Vision Engineer,4.6,Pertamina,Jakarta,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"Bumi Resources, PLN (Perusahaan Listrik Negara)",1284,23298,"We are looking for a Computer Vision Engineer skilled in Computer Vision, Deep Learning, OpenCV. Responsibilities include Collaborate with data scientists, Use OpenCV and TensorFlow, Optimize image processing algorithms."
Data Scientist,4.5,Ciputra Development,Tebing Tinggi,Medan,10001+ employees,1999,Company - S Corporation (S Corp),Real Estate,Real Estate,,426,5075,"We are looking for a Data Scientist to join our team. Requirements: Experience in Machine Learning, Python, Data Analysis. Responsibilities: Collaborate with cross-functional teams, Develop predictive models, Analyze data to drive insights."
IT Project Manager,3.0,Bumi Resources,Madiun,Medan,1001 to 5000 employees,2001,Company - Holding,Mining,Energy,"Pertamina, PLN (Perusahaan Listrik Negara)",3763,55999,"Join our team as an IT Project Manager. Skills required: Technical Background, Agile, Leadership. Responsibilities: Manage IT projects, Manage project budgets, Communicate with stakeholders."
Data Analyst,2.6,Bank Rakyat Indonesia (BRI),Metro,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Central Asia (BCA), Bank Negara Indonesia (BNI), Bank Mandiri",3191,41943,"Seeking a Data Analyst proficient in Data Visualization, Power BI, Excel. Responsibilities include Identify trends and patterns, Support data-driven decision making, Create reports and dashboards."
IT Project Manager,3.0,PLN (Perusahaan Listrik Negara),Dumai,Jakarta,5001 to 10000 employees,2002,Company - Subsidiary,Energy,Energy,"Bumi Resources, Pertamina",5722,75785,"Join our team as an IT Project Manager. Skills required: Scrum, Technical Background, IT Project Management. Responsibilities: Ensure project success, Manage IT projects, Communicate with stakeholders."
UI/UX Developer,3.4,Bank Negara Indonesia (BNI),Magelang,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Rakyat Indonesia (BRI), Bank Central Asia (BCA), Bank Mandiri",5632,86365,"Join us as a UI/UX Developer. Required skills: UX Research, Sketch, UI Design. Duties: Work with design tools, Collaborate with developers, Design user interfaces and experiences."
Front-end Developer,4.9,XL Axiata,Cilegon,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"Indosat Ooredoo, PT Telkom Indonesia, Telekomunikasi Selular (Telkomsel)",5102,69716,"Seeking a Front-end Developer with skills in CSS, HTML, JavaScript. Responsibilities: Develop user interfaces, Collaborate with back-end developers, Work with HTML, CSS, and JavaScript."
Brand Designer,2.7,PT Telkom Indonesia,Sabang,Medan,5001 to 10000 employees,1993,Company - Sole Proprietorship,Telecommunications,Telecommunications,"Indosat Ooredoo, XL Axiata, Telekomunikasi Selular (Telkomsel)",158,2421,"Hiring a Brand Designer proficient in Creativity, Adobe Creative Suite, Brand Strategy. Responsibilities: Ensure brand consistency, Collaborate with marketing teams, Develop branding materials."
Web Application Developer,2.7,Unilever Indonesia,Jambi,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Sampoerna, Indofood, Djarum",3783,69737,"We are looking for a Web Application Developer skilled in APIs, JavaScript, CSS. Responsibilities include Work with JavaScript and APIs, Ensure application security, Develop web applications."
Program Manager,5.0,Pertamina,Tidore Kepulauan,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"Bumi Resources, PLN (Perusahaan Listrik Negara)",1643,23298,"Join us as a Program Manager. Required skills: Leadership, Scrum, Agile. Duties: Manage program budgets, Communicate with stakeholders, Ensure program delivery."
Data Mining Engineer,3.4,Alfamart,Sungai Penuh,Yogyakarta,5001 to 10000 employees,2009,Company - Cooperative,Retail,Retail,"Indomaret, Matahari Department Store",4099,69897,"Seeking a Data Mining Engineer proficient in SQL, Algorithms, Data Mining. Responsibilities include Develop data mining models, Optimize algorithms, Work with data scientists."
Web Application Developer,4.4,Bank Negara Indonesia (BNI),Langsa,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Mandiri, Bank Rakyat Indonesia (BRI), Bank Central Asia (BCA)",5753,86365,"We are looking for a Web Application Developer skilled in HTML, JavaScript, APIs. Responsibilities include Ensure application security, Collaborate with designers, Optimize web application performance."
Technical Project Manager,4.8,Pertamina,Padang Panjang,Jakarta,10001+ employees,2001,Company - Sole Proprietorship,Oil and Gas,Energy,"Bumi Resources, PLN (Perusahaan Listrik Negara)",1409,23298,"Seeking a Technical Project Manager proficient in Agile, Project Management, Technical Background. Responsibilities include Communicate with stakeholders, Work with cross-functional teams, Ensure project delivery."
Computer Vision Engineer,2.6,Gudang Garam,Bekasi,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Sampoerna, Unilever Indonesia, Djarum",3529,49935,"We are looking for a Computer Vision Engineer skilled in Deep Learning, OpenCV, Image Processing. Responsibilities include Develop computer vision models, Work with image data, Use OpenCV and TensorFlow."
Data Engineer,4.0,PT Telkom Indonesia,Sawah Lunto,Medan,5001 to 10000 employees,1993,Company - Sole Proprietorship,Telecommunications,Telecommunications,"XL Axiata, Telekomunikasi Selular (Telkomsel), Indosat Ooredoo",193,2421,"Hiring a Data Engineer experienced with Python, ETL, Hadoop. You will be responsible for Work with big data technologies, Build and maintain data pipelines, Develop ETL processes."
Business Intelligence Analyst,2.8,XL Axiata,Cirebon,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"Indosat Ooredoo, Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia",3740,69716,"We need a Business Intelligence Analyst with skills in Data Modeling, BI Tools, Analytics. Main tasks: Provide actionable insights, Work with business stakeholders, Analyze data trends."
UI/UX Developer,4.4,XL Axiata,Lubuklinggau,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"PT Telkom Indonesia, Indosat Ooredoo, Telekomunikasi Selular (Telkomsel)",5708,69716,"Join us as a UI/UX Developer. Required skills: Sketch, UX Research, UI Design. Duties: Collaborate with developers, Create prototypes, Work with design tools."
Scrum Master,2.6,Blue Bird Group,Batu,Surabaya,1001 to 5000 employees,2010,Company - Subsidiary,Transportation,Transportation,"Astra International, Garuda Indonesia",1926,29347,"We are looking for a Scrum Master skilled in Facilitation, Scrum, Agile. Responsibilities include Ensure team productivity, Support agile teams, Facilitate scrum processes."
Deep Learning Engineer,3.0,Bukalapak,Yogyakarta,Padang,5001 to 10000 employees,1992,Company - Government,E-commerce,Technology,"Tokopedia, GoJek, Traveloka",880,14695,"Hiring a Deep Learning Engineer experienced with Neural Networks, Deep Learning, TensorFlow. You will be responsible for Collaborate with data scientists, Optimize neural networks, Work with TensorFlow and Keras."
Business Intelligence Analyst,4.4,GoJek,Pagar Alam,Jakarta,10001+ employees,2012,Company - Subsidiary,E-commerce,Technology,"Bukalapak, Traveloka, Tokopedia",2325,42110,"We need a Business Intelligence Analyst with skills in Data Modeling, Analytics, Dashboarding. Main tasks: Create and maintain dashboards, Develop BI solutions, Analyze data trends."
Back-end Developer,2.6,Lippo Group,Jambi,Padang,1001 to 5000 employees,2003,Company - Corporation (C Corp),Conglomerate,Conglomerate,Sinar Mas Group,6822,81686,"Hiring a Back-end Developer experienced with Java, APIs, Python. Responsibilities: Work with databases, Collaborate with front-end developers, Develop server-side logic."
Data Scientist,4.9,Unilever Indonesia,Tangerang Selatan,Bandung,1001 to 5000 employees,2000,Company - Corporation (C Corp),Consumer Goods,Consumer Goods,"Djarum, Gudang Garam, Sampoerna",5814,69737,"We are looking for a Data Scientist to join our team. Requirements: Experience in Python, R, SQL. Responsibilities: Collaborate with cross-functional teams, Analyze data to drive insights, Communicate findings to stakeholders."
NLP Engineer (Natural Language Processing),3.3,PLN (Perusahaan Listrik Negara),Lubuklinggau,Jakarta,5001 to 10000 employees,2002,Company - Subsidiary,Energy,Energy,"Bumi Resources, Pertamina",6601,75785,"Join us as an NLP Engineer. Required skills: Text Mining, NLP, NLTK. Duties: Use NLP libraries, Deploy NLP solutions, Collaborate with linguists."
Technical Project Manager,4.1,Garuda Indonesia,Kediri,Jakarta,1001 to 5000 employees,1991,Company - Professional Corporation (PC),Airlines,Transportation,"Astra International, Blue Bird Group",4464,67312,"Seeking a Technical Project Manager proficient in Scrum, Technical Background, Project Management. Responsibilities include Communicate with stakeholders, Ensure project delivery, Work with cross-functional teams."
Web Developer,4.0,Bank Central Asia (BCA),Kendari,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI), Bank Mandiri",1808,31814,"We need a Web Developer proficient in JavaScript, HTML, React. Responsibilities: Develop and maintain websites, Collaborate with designers, Optimize web applications."
Computer Vision Engineer,3.3,Bank Central Asia (BCA),Kendari,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI), Bank Mandiri",2292,31814,"We are looking for a Computer Vision Engineer skilled in OpenCV, Image Processing, Deep Learning. Responsibilities include Use OpenCV and TensorFlow, Develop computer vision models, Optimize image processing algorithms."
AI Research Scientist,4.2,Bank Central Asia (BCA),Tomohon,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI), Bank Mandiri",1595,31814,"We need an AI Research Scientist with skills in Python, Machine Learning, Algorithms. Main tasks: Develop new AI algorithms, Conduct AI research, Collaborate with other researchers."
Front-end Developer,5.0,Bank Central Asia (BCA),Denpasar,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Mandiri, Bank Rakyat Indonesia (BRI)",2423,31814,"Seeking a Front-end Developer with skills in CSS, Vue.js, React. Responsibilities: Develop user interfaces, Optimize front-end performance, Ensure responsive design."
Business Intelligence Analyst,4.9,Djarum,Pontianak,Padang,10001+ employees,2007,Company - Corporation (C Corp),Tobacco,Consumer Goods,"Gudang Garam, Indofood, Sampoerna",4191,52425,"We need a Business Intelligence Analyst with skills in BI Tools, Data Modeling, Analytics. Main tasks: Work with business stakeholders, Provide actionable insights, Analyze data trends."
UX Designer,4.4,XL Axiata,Bitung,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"Indosat Ooredoo, Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia",4639,69716,"We need a UX Designer with skills in Prototyping, UX Research, Sketch. Main tasks: Design user experiences, Conduct user research, Create wireframes and prototypes."
Machine Learning Engineer,2.6,Tokopedia,Pekalongan,Jakarta,10001+ employees,1995,Company - Cooperative,E-commerce,Technology,"GoJek, Traveloka, Bukalapak",276,3915,"Join our team as a Machine Learning Engineer. Skills required: Deep Learning, TensorFlow, Scikit-Learn. Responsibilities: Work with TensorFlow and PyTorch, Optimize ML algorithms, Collaborate with data scientists."
Scrum Master,4.0,Kalbe Farma,Subulussalam,Jakarta,10001+ employees,2008,Company - S Corporation (S Corp),Pharmaceuticals,Healthcare,,4375,67133,"We are looking for a Scrum Master skilled in Scrum, Project Management, Agile. Responsibilities include Ensure team productivity, Communicate with stakeholders, Support agile teams."
AI Research Scientist,3.3,Astra International,Tasikmalaya,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Blue Bird Group, Garuda Indonesia",2340,27435,"We need an AI Research Scientist with skills in AI, Algorithms, Python. Main tasks: Collaborate with other researchers, Analyze experimental results, Conduct AI research."
Graphic Designer,3.0,Bank Rakyat Indonesia (BRI),Pekanbaru,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Central Asia (BCA), Bank Mandiri",3389,41943,"Seeking a Graphic Designer proficient in Illustrator, Creativity, Graphic Design. Responsibilities: Ensure design quality, Work with design tools, Develop branding materials."
Full-stack Developer,2.8,Blue Bird Group,Pekalongan,Surabaya,1001 to 5000 employees,2010,Company - Subsidiary,Transportation,Transportation,"Astra International, Garuda Indonesia",1993,29347,"We need a Full-stack Developer with skills in HTML, CSS, React. Main tasks: Develop both front-end and back-end, Work with HTML, CSS, JavaScript, and server-side languages, Ensure full-stack performance."
Data Analyst,3.4,XL Axiata,Tebing Tinggi,Bandung,5001 to 10000 employees,1992,Company - Non-profit,Telecommunications,Telecommunications,"Indosat Ooredoo, Telekomunikasi Selular (Telkomsel), PT Telkom Indonesia",5105,69716,"Seeking a Data Analyst proficient in Excel, Power BI, Data Visualization. Responsibilities include Support data-driven decision making, Identify trends and patterns, Analyze business data."
UX Designer,2.9,Astra International,Padang,Padang,1001 to 5000 employees,2002,Company - Government,Automotive,Transportation,"Garuda Indonesia, Blue Bird Group",2395,27435,"We need a UX Designer with skills in Wireframing, UX Research, Prototyping. Main tasks: Design user experiences, Create wireframes and prototypes, Ensure usability."
Reinforcement Learning Specialist,3.5,Bank Central Asia (BCA),Bitung,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Rakyat Indonesia (BRI), Bank Mandiri, Bank Negara Indonesia (BNI)",1600,31814,"Join our team as a Reinforcement Learning Specialist. Skills required: Algorithms, Reinforcement Learning, TensorFlow. Responsibilities: Optimize RL algorithms, Collaborate with data scientists, Work with TensorFlow and PyTorch."
Brand Designer,2.9,Indofood,Kendari,Yogyakarta,10001+ employees,1991,Company - Professional Corporation (PC),Food and Beverage,Consumer Goods,"Djarum, Unilever Indonesia, Gudang Garam",3331,41264,"Hiring a Brand Designer proficient in Visual Design, Brand Strategy, Graphic Design. Responsibilities: Work with design tools, Create visual identities, Ensure brand consistency."
JavaScript Developer,3.0,Indofood,Bontang,Yogyakarta,10001+ employees,1991,Company - Professional Corporation (PC),Food and Beverage,Consumer Goods,"Gudang Garam, Sampoerna, Djarum",2459,41264,"Hiring a JavaScript Developer proficient in Node.js, React, JavaScript. Responsibilities: Collaborate with other developers, Optimize JavaScript performance, Develop applications using JavaScript."
Robotics Engineer,3.1,Bank Central Asia (BCA),Tasikmalaya,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Mandiri, Bank Rakyat Indonesia (BRI)",2259,31814,"Seeking a Robotics Engineer proficient in Python, Robotics, C++. Responsibilities include Work with control systems, Collaborate with other engineers, Develop robotics solutions."
Full-stack Developer,4.3,Bank Rakyat Indonesia (BRI),Surabaya,Padang,10001+ employees,2009,Company - Subsidiary,Banking,Finance,"Bank Mandiri, Bank Central Asia (BCA), Bank Negara Indonesia (BNI)",2134,41943,"We need a Full-stack Developer with skills in React, JavaScript, Node.js. Main tasks: Work with HTML, CSS, JavaScript, and server-side languages, Ensure full-stack performance, Optimize full-stack applications."
Machine Learning Engineer,4.8,Tokopedia,Sungai Penuh,Jakarta,10001+ employees,1995,Company - Cooperative,E-commerce,Technology,"Bukalapak, GoJek, Traveloka",306,3915,"Join our team as a Machine Learning Engineer. Skills required: Scikit-Learn, TensorFlow, Python. Responsibilities: Deploy ML solutions, Collaborate with data scientists, Work with TensorFlow and PyTorch."
Technical Project Manager,3.0,Bank Negara Indonesia (BNI),Cimahi,Jakarta,10001+ employees,1995,Company - Public,Banking,Finance,"Bank Mandiri, Bank Rakyat Indonesia (BRI), Bank Central Asia (BCA)",7101,86365,"Seeking a Technical Project Manager proficient in Technical Background, Agile, Project Management. Responsibilities include Manage project timelines, Ensure project delivery, Work with cross-functional teams."
UI/UX Developer,4.4,Bank Central Asia (BCA),Makassar,Jakarta,5001 to 10000 employees,2006,Company - Government,Banking,Finance,"Bank Mandiri, Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI)",1983,31814,"Join us as a UI/UX Developer. Required skills: Sketch, UI Design, UX Research. Duties: Design user interfaces and experiences, Collaborate with developers, Work with design tools."
NLP Engineer (Natural Language Processing),3.9,Tokopedia,Tomohon,Jakarta,10001+ employees,1995,Company - Cooperative,E-commerce,Technology,"Traveloka, GoJek, Bukalapak",291,3915,"Join us as an NLP Engineer. Required skills: NLTK, Text Mining, NLP. Duties: Develop NLP models, Collaborate with linguists, Deploy NLP solutions."
Web Application Developer,4.1,Garuda Indonesia,Sorong,Jakarta,1001 to 5000 employees,1991,Company - Professional Corporation (PC),Airlines,Transportation,"Blue Bird Group, Astra International",4249,67312,"We are looking for a Web Application Developer skilled in Web Development, JavaScript, CSS. Responsibilities include Optimize web application performance, Work with JavaScript and APIs, Ensure application security."
Deep Learning Engineer,4.3,PLN (Perusahaan Listrik Negara),Sawah Lunto,Jakarta,5001 to 10000 employees,2002,Company - Subsidiary,Energy,Energy,"Bumi Resources, Pertamina",6804,75785,"Hiring a Deep Learning Engineer experienced with Python, TensorFlow, Keras. You will be responsible for Deploy DL solutions, Optimize neural networks, Develop deep learning models."
Scrum Master,3.5,Bank Mandiri,Blitar,Surabaya,10001+ employees,2008,Company - Government,Banking,Finance,"Bank Negara Indonesia (BNI), Bank Rakyat Indonesia (BRI), Bank Central Asia (BCA)",4410,79344,"We are looking for a Scrum Master skilled in Scrum, Team Collaboration, Project Management. Responsibilities include Facilitate scrum processes, Ensure team productivity, Communicate with stakeholders."
Data Scientist,2.7,Gudang Garam,Bontang,Medan,1001 to 5000 employees,2000,Company - Limited Liability Company (LLC),Tobacco,Consumer Goods,"Sampoerna, Indofood, Unilever Indonesia",2979,49935,"We are looking for a Data Scientist to join our team. Requirements: Experience in Python, Data Analysis, Machine Learning. Responsibilities: Develop predictive models, Collaborate with cross-functional teams, Work with large datasets."
Reinforcement Learning Specialist,4.7,Lippo Group,Sukabumi,Padang,1001 to 5000 employees,2003,Company - Corporation (C Corp),Conglomerate,Conglomerate,Sinar Mas Group,7094,81686,"Join our team as a Reinforcement Learning Specialist. Skills required: Reinforcement Learning, Machine Learning, Python. Responsibilities: Develop RL models, Conduct experiments, Optimize RL algorithms."
Web Application Developer,3.9,Tokopedia,Gunungsitoli,Jakarta,10001+ employees,1995,Company - Cooperative,E-commerce,Technology,"Traveloka, GoJek, Bukalapak",227,3915,"We are looking for a Web Application Developer skilled in APIs, HTML, Web Development. Responsibilities include Collaborate with designers, Work with JavaScript and APIs, Optimize web application performance."
