Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Competitors,Average Salary,Average Revenue,Processed_JD
Full-stack Developer,3.5,Tokopedia,"Jakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2009,Company - Private,Software,Technology,-1,66.9,65.7,"We need a Full-stack Developer with skills in CSS, Node.js, React. Main tasks: Develop both front-end and back-end, Work with HTML, CSS, JavaScript, and server-side languages, Collaborate with designers and developers."
Agile Project Manager,5.0,Bank Negara Indonesia (BNI),"Yogyakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2010,Company - Private,Software,Technology,-1,54.9,49.8,"We need an Agile Project Manager with skills in Agile, Scrum, Leadership. Main tasks: Collaborate with agile teams, Communicate with stakeholders, Facilitate agile processes."
Back-end Developer,3.3,Traveloka,"Bali, Indonesia","Jakarta, Indonesia",10001+ employees,2010,Company - Public,Software,Technology,-1,92.9,23.5,"Hiring a Back-end Developer experienced with Node.js, Java, Python. Responsibilities: Work with databases, Collaborate with front-end developers, Optimize server-side code."
Reinforcement Learning Specialist,3.9,Bank Negara Indonesia (BNI),"Surabaya, Indonesia","Surabaya, Indonesia",10001+ employees,2011,Company - Public,Information Technology,Business Services,-1,51.2,29.2,"Join our team as a Reinforcement Learning Specialist. Skills required: Algorithms, Python, Reinforcement Learning. Responsibilities: Develop RL models, Optimize RL algorithms, Collaborate with data scientists."
Interaction Designer,4.1,Matahari Department Store,"Bali, Indonesia","Jakarta, Indonesia",10001+ employees,2009,Company - Private,Software,Technology,None,107.9,15.9,"We are looking for an Interaction Designer skilled in User Testing, Prototyping, UI Design. Responsibilities include Work with design tools, Design interactive experiences, Create prototypes."
IT Project Manager,3.4,Garuda Indonesia,"Bali, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2011,Company - Private,Software,Technology,None,73.0,51.1,"Join our team as an IT Project Manager. Skills required: Leadership, Agile, Scrum. Responsibilities: Work with IT teams, Manage project budgets, Communicate with stakeholders."
Machine Learning Engineer,2.9,Gudang Garam,"Bali, Indonesia","Bandung, Indonesia",10001+ employees,2009,Company - Private,E-commerce,Technology,None,104.1,56.6,"Join our team as a Machine Learning Engineer. Skills required: Deep Learning, Scikit-Learn, NLP. Responsibilities: Collaborate with data scientists, Optimize ML algorithms, Develop machine learning models."
Scrum Master,4.7,Unilever Indonesia,"Jakarta, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Public,Software,Technology,-1,100.6,93.5,"We are looking for a Scrum Master skilled in Team Collaboration, Facilitation, Scrum. Responsibilities include Remove obstacles, Facilitate scrum processes, Communicate with stakeholders."
Motion Graphics Designer,4.2,Garuda Indonesia,"Bali, Indonesia","Bali, Indonesia",10001+ employees,2013,Company - Public,E-commerce,Business Services,-1,82.5,76.3,"Join us as a Motion Graphics Designer. Required skills: After Effects, Motion Graphics, Cinema 4D. Duties: Ensure animation quality, Create motion graphics, Develop visual content."
NLP Engineer (Natural Language Processing),4.6,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Surabaya, Indonesia","Surabaya, Indonesia",1001 to 5000 employees,2009,Company - Public,Software,Business Services,None,112.9,99.7,"Join us as an NLP Engineer. Required skills: Python, NLTK, SpaCy. Duties: Collaborate with linguists, Use NLP libraries, Develop NLP models."
Business Intelligence Analyst,3.9,Tokopedia,"Jakarta, Indonesia","Bali, Indonesia",10001+ employees,2012,Company - Private,E-commerce,Business Services,-1,97.4,33.0,"We need a Business Intelligence Analyst with skills in Dashboarding, Data Modeling, BI Tools. Main tasks: Create and maintain dashboards, Provide actionable insights, Work with business stakeholders."
Front-end Developer,4.2,Pertamina,"Surabaya, Indonesia","Bali, Indonesia",5001 to 10000 employees,2012,Company - Private,Software,Technology,None,73.8,68.0,"Seeking a Front-end Developer with skills in React, HTML, JavaScript. Responsibilities: Ensure responsive design, Optimize front-end performance, Work with HTML, CSS, and JavaScript."
Web Developer,3.2,Garuda Indonesia,"Bandung, Indonesia","Bali, Indonesia",5001 to 10000 employees,2013,Company - Private,E-commerce,Business Services,-1,89.9,12.8,"We need a Web Developer proficient in JavaScript, React, HTML. Responsibilities: Work with HTML, CSS, and JavaScript, Optimize web applications, Develop and maintain websites."
AI Research Scientist,3.8,Kalbe Farma,"Bali, Indonesia","Bandung, Indonesia",10001+ employees,2010,Company - Public,Software,Business Services,None,62.8,87.5,"We need an AI Research Scientist with skills in Algorithms, Machine Learning, Python. Main tasks: Collaborate with other researchers, Conduct AI research, Develop new AI algorithms."
Business Intelligence Analyst,3.5,Telekomunikasi Selular (Telkomsel),"Surabaya, Indonesia","Surabaya, Indonesia",1001 to 5000 employees,2011,Company - Private,Software,Business Services,-1,88.2,71.7,"We need a Business Intelligence Analyst with skills in Data Modeling, Analytics, SQL. Main tasks: Analyze data trends, Provide actionable insights, Create and maintain dashboards."
JavaScript Developer,4.0,Traveloka,"Jakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,E-commerce,Business Services,None,50.0,89.4,"Hiring a JavaScript Developer proficient in Vue.js, Angular, JavaScript. Responsibilities: Work with frameworks like React and Node.js, Optimize JavaScript performance, Develop applications using JavaScript."
Data Scientist,3.7,GoJek,"Bali, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2012,Company - Private,E-commerce,Technology,-1,83.9,44.9,"We are looking for a Data Scientist to join our team. Requirements: Experience in Data Analysis, Machine Learning, R. Responsibilities: Collaborate with cross-functional teams, Communicate findings to stakeholders, Analyze data to drive insights."
Data Engineer,3.8,GoJek,"Bali, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2009,Company - Public,Information Technology,Business Services,-1,118.5,38.6,"Hiring a Data Engineer experienced with SQL, Hadoop, ETL. You will be responsible for Build and maintain data pipelines, Develop ETL processes, Work with big data technologies."
Technical Project Manager,3.0,Tokopedia,"Bali, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2009,Company - Private,Information Technology,Technology,-1,78.2,76.3,"Seeking a Technical Project Manager proficient in Leadership, Project Management, Scrum. Responsibilities include Manage technical projects, Ensure project delivery, Communicate with stakeholders."
Deep Learning Engineer,3.6,Garuda Indonesia,"Jakarta, Indonesia","Bali, Indonesia",5001 to 10000 employees,2013,Company - Public,Information Technology,Technology,None,140.4,36.3,"Hiring a Deep Learning Engineer experienced with Neural Networks, TensorFlow, Python. You will be responsible for Collaborate with data scientists, Develop deep learning models, Work with TensorFlow and Keras."
IT Project Manager,2.9,Garuda Indonesia,"Jakarta, Indonesia","Surabaya, Indonesia",1001 to 5000 employees,2010,Company - Public,E-commerce,Technology,-1,94.5,31.2,"Join our team as an IT Project Manager. Skills required: Leadership, Agile, IT Project Management. Responsibilities: Ensure project success, Communicate with stakeholders, Work with IT teams."
Machine Learning Engineer,3.1,Garuda Indonesia,"Bali, Indonesia","Yogyakarta, Indonesia",10001+ employees,2009,Company - Private,Information Technology,Technology,-1,104.0,75.4,"Join our team as a Machine Learning Engineer. Skills required: TensorFlow, NLP, Python. Responsibilities: Optimize ML algorithms, Work with TensorFlow and PyTorch, Deploy ML solutions."
IT Project Manager,2.9,Gudang Garam,"Yogyakarta, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2009,Company - Private,E-commerce,Business Services,-1,110.5,44.2,"Join our team as an IT Project Manager. Skills required: IT Project Management, Leadership, Agile. Responsibilities: Communicate with stakeholders, Manage project budgets, Ensure project success."
Robotics Engineer,3.7,Telekomunikasi Selular (Telkomsel),"Bali, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2009,Company - Public,Software,Business Services,None,94.5,26.1,"Seeking a Robotics Engineer proficient in Robotics, C++, Python. Responsibilities include Collaborate with other engineers, Work with control systems, Program robots."
Web Application Developer,2.5,Unilever Indonesia,"Yogyakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Information Technology,Technology,-1,87.4,66.2,"We are looking for a Web Application Developer skilled in Web Development, JavaScript, CSS. Responsibilities include Optimize web application performance, Develop web applications, Ensure application security."
Research Scientist,3.6,GoJek,"Jakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2012,Company - Private,E-commerce,Business Services,None,134.0,84.0,"Join us as a Research Scientist. Required skills: Machine Learning, Data Analysis, Python. Duties: Analyze experimental data, Publish research findings, Conduct research and experiments."
Research Scientist,3.1,Gudang Garam,"Jakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Software,Technology,-1,122.1,64.2,"Join us as a Research Scientist. Required skills: Data Analysis, Python, Statistics. Duties: Publish research findings, Analyze experimental data, Develop new methodologies."
UI/UX Developer,3.5,Sinar Mas Group,"Yogyakarta, Indonesia","Bali, Indonesia",5001 to 10000 employees,2012,Company - Private,Information Technology,Technology,-1,63.2,92.4,"Join us as a UI/UX Developer. Required skills: Adobe XD, UI Design, Sketch. Duties: Conduct user research, Collaborate with developers, Create prototypes."
UI/UX Developer,4.8,Ciputra Development,"Yogyakarta, Indonesia","Surabaya, Indonesia",10001+ employees,2012,Company - Private,E-commerce,Business Services,-1,131.7,29.4,"Join us as a UI/UX Developer. Required skills: UX Research, Prototyping, Adobe XD. Duties: Design user interfaces and experiences, Work with design tools, Conduct user research."
Data Scientist,3.4,Astra International,"Yogyakarta, Indonesia","Jakarta, Indonesia",5001 to 10000 employees,2013,Company - Private,Information Technology,Technology,None,68.3,64.3,"We are looking for a Data Scientist to join our team. Requirements: Experience in Data Analysis, SQL, R. Responsibilities: Communicate findings to stakeholders, Work with large datasets, Collaborate with cross-functional teams."
Brand Designer,4.4,Matahari Department Store,"Jakarta, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2011,Company - Private,Software,Technology,None,109.7,45.9,"Hiring a Brand Designer proficient in Brand Strategy, Graphic Design, Creativity. Responsibilities: Develop branding materials, Collaborate with marketing teams, Create visual identities."
NLP Engineer (Natural Language Processing),3.8,Gudang Garam,"Bali, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Public,E-commerce,Technology,-1,141.4,58.4,"Join us as an NLP Engineer. Required skills: Text Mining, NLTK, NLP. Duties: Work with text data, Use NLP libraries, Develop NLP models."
Web Application Developer,3.7,Alfamart,"Surabaya, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2013,Company - Private,E-commerce,Business Services,-1,68.4,50.6,"We are looking for a Web Application Developer skilled in JavaScript, APIs, HTML. Responsibilities include Ensure application security, Collaborate with designers, Optimize web application performance."
UI Designer,3.4,Sampoerna,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2010,Company - Public,E-commerce,Business Services,-1,83.6,13.4,"Hiring a UI Designer experienced with UI Design, Sketch, Prototyping. Responsibilities: Collaborate with developers, Ensure design consistency, Work with design tools."
Robotics Engineer,3.6,GoJek,"Jakarta, Indonesia","Bandung, Indonesia",1001 to 5000 employees,2010,Company - Private,E-commerce,Technology,None,118.4,53.1,"Seeking a Robotics Engineer proficient in C++, ROS, Control Systems. Responsibilities include Work with control systems, Collaborate with other engineers, Program robots."
UI Designer,3.2,Bukalapak,"Jakarta, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2010,Company - Public,Software,Technology,-1,81.1,96.1,"Hiring a UI Designer experienced with Figma, Sketch, UI Design. Responsibilities: Design user interfaces, Ensure design consistency, Work with design tools."
Product Manager,4.0,Astra International,"Yogyakarta, Indonesia","Yogyakarta, Indonesia",5001 to 10000 employees,2010,Company - Public,Information Technology,Technology,None,108.8,85.3,"Hiring a Product Manager experienced with Leadership, Product Development, Agile. You will be responsible for Communicate with stakeholders, Define product vision, Ensure product success."
UI/UX Developer,2.7,Indosat Ooredoo,"Yogyakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2012,Company - Public,Information Technology,Technology,None,56.4,64.3,"Join us as a UI/UX Developer. Required skills: Sketch, Adobe XD, UX Research. Duties: Conduct user research, Create prototypes, Work with design tools."
Brand Designer,3.8,Unilever Indonesia,"Jakarta, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2010,Company - Public,Information Technology,Business Services,-1,67.3,54.1,"Hiring a Brand Designer proficient in Graphic Design, Brand Strategy, Creativity. Responsibilities: Work with design tools, Develop branding materials, Collaborate with marketing teams."
Computer Vision Engineer,3.6,Astra International,"Yogyakarta, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2011,Company - Private,Software,Business Services,-1,99.9,92.3,"We are looking for a Computer Vision Engineer skilled in Image Processing, Python, Deep Learning. Responsibilities include Use OpenCV and TensorFlow, Work with image data, Develop computer vision models."
Interaction Designer,4.0,Traveloka,"Bali, Indonesia","Bandung, Indonesia",5001 to 10000 employees,2010,Company - Private,Software,Technology,-1,143.0,42.7,"We are looking for an Interaction Designer skilled in UI Design, Interaction Design, User Testing. Responsibilities include Create prototypes, Collaborate with developers, Ensure interaction quality."
Business Intelligence Analyst,3.6,Astra International,"Yogyakarta, Indonesia","Bali, Indonesia",1001 to 5000 employees,2011,Company - Public,Software,Technology,None,58.4,17.6,"We need a Business Intelligence Analyst with skills in SQL, BI Tools, Dashboarding. Main tasks: Provide actionable insights, Create and maintain dashboards, Work with business stakeholders."
JavaScript Developer,3.5,Sampoerna,"Surabaya, Indonesia","Surabaya, Indonesia",5001 to 10000 employees,2010,Company - Private,Information Technology,Business Services,None,96.5,34.5,"Hiring a JavaScript Developer proficient in Node.js, Angular, React. Responsibilities: Work with frameworks like React and Node.js, Collaborate with other developers, Optimize JavaScript performance."
Research Scientist,3.7,Sinar Mas Group,"Jakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2009,Company - Public,Information Technology,Business Services,None,75.9,24.8,"Join us as a Research Scientist. Required skills: Machine Learning, Statistics, R. Duties: Publish research findings, Develop new methodologies, Conduct research and experiments."
Data Mining Engineer,2.8,Bank Central Asia (BCA),"Bandung, Indonesia","Yogyakarta, Indonesia",1001 to 5000 employees,2012,Company - Public,E-commerce,Business Services,-1,52.8,65.8,"Seeking a Data Mining Engineer proficient in Algorithms, SQL, R. Responsibilities include Optimize algorithms, Provide actionable insights, Develop data mining models."
Data Engineer,2.8,Tokopedia,"Surabaya, Indonesia","Jakarta, Indonesia",1001 to 5000 employees,2011,Company - Private,E-commerce,Technology,None,69.6,97.7,"Hiring a Data Engineer experienced with Hadoop, ETL, Big Data. You will be responsible for Build and maintain data pipelines, Work with big data technologies, Ensure data quality and integrity."
Research Scientist,3.1,Garuda Indonesia,"Surabaya, Indonesia","Bali, Indonesia",10001+ employees,2011,Company - Public,E-commerce,Business Services,-1,137.1,14.6,"Join us as a Research Scientist. Required skills: Machine Learning, Data Analysis, Statistics. Duties: Develop new methodologies, Analyze experimental data, Conduct research and experiments."
NLP Engineer (Natural Language Processing),2.7,Sinar Mas Group,"Jakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2011,Company - Public,Software,Technology,-1,139.1,50.0,"Join us as an NLP Engineer. Required skills: SpaCy, Python, Text Mining. Duties: Deploy NLP solutions, Collaborate with linguists, Use NLP libraries."
Data Analyst,4.4,Telekomunikasi Selular (Telkomsel),"Bandung, Indonesia","Jakarta, Indonesia",10001+ employees,2010,Company - Private,Information Technology,Business Services,None,134.2,78.3,"Seeking a Data Analyst proficient in Data Visualization, Power BI, SQL. Responsibilities include Analyze business data, Identify trends and patterns, Create reports and dashboards."
Business Intelligence Analyst,4.7,Alfamart,"Jakarta, Indonesia","Yogyakarta, Indonesia",10001+ employees,2013,Company - Private,Information Technology,Business Services,-1,138.2,67.3,"We need a Business Intelligence Analyst with skills in SQL, Analytics, Dashboarding. Main tasks: Work with business stakeholders, Analyze data trends, Create and maintain dashboards."
Graphic Designer,4.1,Bank Rakyat Indonesia (BRI)Bank Mandiri,"Surabaya, Indonesia","Yogyakarta, Indonesia",10001+ employees,2011,Company - Public,Software,Business Services,None,81.4,11.8,"Seeking a Graphic Designer proficient in InDesign, Creativity, Graphic Design. Responsibilities: Ensure design quality, Create visual designs, Collaborate with marketing teams."
